index,x,y,z,color,lum,absmag,appmag,distly,distly_datetime,date
28777,-2.0685,-7.368,-2.4134,1.677,0.00237,11.29,10.81,26.16,9548.4,9/16/88
68528,1.4769,5.589,5.5913,1.609,0.00392,10.74,10.27,26.22,9570.3,8/25/88
76591,-1.6547,6.9151,3.79,0.451,1.91596,4.02,3.55,26.27,9588.55,8/7/88
73559,5.4852,4.9801,3.3449,1.478,0.00728,10.07,9.62,26.5,9672.5,5/15/88
4746,2.6494,-4.5643,-6.1965,-0.63,0.00618,10.25,9.8,26.53,9683.45,5/4/88
4184,-4.4787,6.6877,1.25,1.643,0.00525,10.43,9.98,26.55,9690.75,4/27/88
96529,2.8033,2.1231,-7.3449,1.137,0.03627,8.33,7.88,26.55,9690.75,4/27/88
6686,1.38,-3.8765,-7.0311,0.902,0.25583,6.21,5.76,26.56,9694.4,4/23/88
33214,-7.0987,0.1576,4.0237,1.677,0.0008,12.46,12.02,26.61,9712.65,4/5/88
65585,7.135,-1.3692,3.8155,1.748,0.00097,12.26,11.83,26.75,9763.75,2/14/88
53350,1.2296,-2.1248,7.836,1.677,0.00145,11.82,11.39,26.77,9771.05,2/6/88
79520,7.8181,-0.0091,-2.5179,0.144,0.00123,12,11.57,26.78,9774.7,2/3/88
18195,-4.0508,-4.6053,-5.5699,-0.63,0.00144,11.83,11.42,27.01,9858.65,11/11/87
26942,2.1432,-7.1177,-3.8372,-0.63,0.00148,11.8,11.41,27.27,9953.55,8/8/87
52368,-1.5298,1.4707,8.0976,0.54,1.09536,4.63,4.24,27.29,9960.85,8/1/87
74146,4.6167,6.0038,3.6329,0.706,2.34715,3.8,3.42,27.38,9993.7,6/29/87
68230,7.9723,-2.5486,1.315,1.677,0.00333,10.92,10.56,27.62,10081.3,4/2/87
20378,-5.3315,-4.7539,-4.6428,1.416,0.02672,8.66,8.31,27.77,10136.05,2/6/87
55461,4.086,-4.5598,5.9322,0.706,0.71681,5.09,4.74,27.79,10143.35,1/30/87
49362,-2.2428,0.1213,8.2527,1.478,0.00708,10.1,9.76,27.88,10176.2,12/28/86
1390,3.2865,-4.1574,-6.7637,0.509,1.16478,4.56,4.23,28.01,10223.65,11/11/86
96242,4.4452,-4.9381,-5.4906,-0.63,0.00392,10.74,10.42,28.1,10256.5,10/9/86
79879,5.1246,6.8802,0.9129,1.542,0.00284,11.09,10.77,28.13,10267.45,9/28/86
95055,3.5088,2.7235,-7.4135,1.416,0.01378,9.38,9.06,28.17,10282.05,9/13/86
24121,-8.5593,-1.2728,-0.4129,0.54,1.02179,4.7,4.39,28.24,10307.6,8/19/86
22164,-8.1825,-2.0978,-2.0515,1.748,0.0006,12.78,12.48,28.34,10344.1,7/13/86
28353,-6.8847,-5.3091,-0.3285,1.038,0.13711,6.88,6.58,28.36,10351.4,7/6/86
12568,-3.1986,-2.9885,-7.5371,-0.63,0.00121,12.02,11.72,28.41,10369.65,6/18/86
26938,2.2445,-7.4514,-4.0179,-0.63,0.00431,10.64,10.35,28.55,10420.75,4/28/86
92980,3.4553,5.1012,-6.2471,1.609,0.0041,10.69,10.41,28.6,10439,4/10/86
72235,8.3352,-2.6606,-0.8064,1.416,0.38872,5.75,5.47,28.64,10453.6,3/26/86
20254,-7.101,-3.3246,-4.0254,1.038,0.19603,6.49,6.22,28.73,10486.45,2/21/86
84816,7.4038,2.0705,-4.3309,1.038,0.30854,6,5.73,28.77,10501.05,2/6/86
79901,5.2649,7.0693,0.9331,1.542,0.00303,11.02,10.76,28.9,10548.5,12/21/85
51724,2.6044,-5.8172,6.1937,1.677,0.00189,11.54,11.28,28.97,10574.05,11/25/85
92398,0.982,8.3008,-3.2353,-0.63,0.001,12.23,11.99,29.22,10665.3,8/26/85
23419,-5.5978,-5.96,-3.687,0.451,2.28838,3.83,3.59,29.24,10672.6,8/19/85
40206,-2.309,-7.9904,3.3747,-0.63,0.0027,11.14,10.91,29.26,10679.9,8/12/85
48300,2.0561,-7.7364,4.195,1.542,0.00755,10.03,9.81,29.46,10752.9,5/31/85
15040,-5.9719,-1.9507,-6.5047,0.902,2.48111,3.74,3.52,29.48,10760.2,5/23/85
47312,-4.3764,4.1015,6.837,1.478,0.01212,9.52,9.31,29.65,10822.25,3/22/85
57134,0.8385,1.8103,8.8786,-0.63,0.00099,12.23,12.03,29.67,10829.55,3/15/85
70547,7.5221,-4.8258,-1.8506,-0.63,0.00118,12.05,11.85,29.75,10858.75,2/14/85
34507,-6.4444,-5.7496,3.0373,-0.63,0.00604,10.27,10.08,29.85,10895.25,1/8/85
49481,-2.5091,0.51,8.7914,0.82,0.17598,6.61,6.42,29.85,10895.25,1/8/85
55010,0.5322,0.5045,9.1256,0.54,1.32226,4.42,4.23,29.85,10895.25,1/8/85
13362,-6.6875,0.2075,-6.255,0.706,0.75459,5.03,4.84,29.86,10898.9,1/5/85
89970,5.9719,-3.7093,-5.9601,0.423,1.36502,4.39,4.21,30.05,10968.25,10/27/84
49062,2.928,-8.1314,3.2675,0.636,0.73334,5.06,4.89,30.12,10993.8,10/2/84
20423,-6.273,-4.8142,-4.8405,-0.63,0.00138,11.87,11.71,30.22,11030.3,8/26/84
20795,-6.2425,-5.0375,-4.7445,1.748,0.00521,10.43,10.28,30.38,11088.7,6/29/84
25255,-5.6252,6.3502,4.039,1.609,0.0044,10.62,10.48,30.63,11179.95,3/30/84
19054,-8.9874,-0.0019,-2.821,1.542,0.00721,10.08,9.95,30.71,11209.15,2/29/84
8383,-3.1186,-0.4111,-8.8998,1.609,0.00581,10.32,10.19,30.77,11231.05,2/7/84
8429,-1.8105,-2.0046,-9.0725,-0.63,0.00096,12.27,12.15,30.86,11263.9,1/6/84
73981,2.8821,7.6896,4.7535,1.609,0.00445,10.6,10.49,30.93,11289.45,12/11/83
40495,-0.2515,-9.3821,1.4255,-0.63,0.0036,10.83,10.72,30.95,11296.75,12/4/83
48232,2.162,-8.1946,4.3765,0.902,0.29171,6.06,5.96,31.1,11351.5,10/10/83
48696,-2.7326,-0.1693,9.1398,0.82,0.53112,5.41,5.31,31.1,11351.5,10/10/83
39820,-4.7174,-6.3575,5.5291,-0.63,0.0015,11.79,11.71,31.48,11490.2,5/24/83
52643,4.8588,-8.1478,1.8121,1.609,0.00398,10.73,10.65,31.49,11493.85,5/21/83
69942,4.2728,6.169,6.2568,1.242,0.04264,8.15,8.1,31.85,11625.25,1/9/83
73364,9.1946,-2.9741,-1.4726,1.137,0.00658,10.18,10.13,31.87,11632.55,1/2/83
69348,8.3546,2.0405,4.6527,0.991,0.36518,5.82,5.77,31.88,11636.2,12/29/82
62197,4.7386,1.5538,8.4509,1.542,0.00675,10.15,10.11,31.99,11676.35,11/19/82
40787,0.3823,-9.761,0.9688,1.478,0.00611,10.26,10.22,32,11680,11/16/82
27215,-9.4432,-2.6499,0.8355,1.478,0.01058,9.66,9.63,32.09,11712.85,10/14/82
61300,-1.9206,6.3932,7.2671,1.609,0.00336,10.91,10.88,32.17,11742.05,9/14/82
72113,9.1847,2.3808,2.8666,-0.63,0.00279,11.11,11.09,32.31,11793.15,7/25/82
87004,7.7668,1.744,-5.9553,1.478,0.02296,8.82,8.81,32.41,11829.65,6/19/82
7217,-6.2872,7.7402,0.2883,0.902,0.43243,5.64,5.63,32.52,11869.8,5/10/82
73035,8.2095,4.4714,3.5031,1.478,0.01434,9.33,9.33,32.54,11877.1,5/2/82
65115,6.0304,-7.251,-3.3552,-0.63,0.0017,11.65,11.65,32.63,11909.95,3/31/82
56437,2.3873,-0.5136,9.7492,1.677,0.0022,11.37,11.38,32.76,11957.4,2/11/82
4197,-5.6567,8.3141,-0.0875,1.137,0.01177,9.55,9.56,32.78,11964.7,2/4/82
58211,-1.9987,5.6087,8.1633,1.038,0.20091,6.47,6.49,32.94,12023.1,12/7/81
2196,-5.2143,8.6468,0.7827,1.575,0.00621,10.24,10.27,33.02,12052.3,11/8/81
25249,2.4149,-8.5586,-4.8892,0.706,0.74263,5.05,5.08,33.08,12074.2,10/17/81
80279,7.9952,6.2193,-0.5838,1.677,0.00293,11.06,11.09,33.08,12074.2,10/17/81
12740,2.0461,-7.0446,-7.0182,-0.63,0.00222,11.36,11.39,33.1,12081.5,10/10/81
100196,4.6828,-6.0761,-6.6609,-0.63,0.00809,9.96,9.99,33.12,12088.8,10/3/81
58438,5.1853,-2.4117,8.4184,1.137,0.0105,9.67,9.71,33.18,12110.7,9/11/81
49827,2.7161,-8.0303,5.6498,1.086,0.12886,6.95,6.99,33.21,12121.65,8/31/81
18726,-9.0788,4.5791,0.6909,1.298,0.02874,8.58,8.62,33.22,12125.3,8/27/81
53437,-3.5208,5.3568,7.9205,1.677,0.00339,10.9,10.94,33.22,12125.3,8/27/81
62151,4.0268,2.5585,9.0401,-0.63,0.00198,11.48,11.53,33.32,12161.8,7/22/81
86770,8.081,1.5915,-6.0593,-0.63,0.00633,10.22,10.27,33.33,12165.45,7/18/81
48766,-2.3453,-1.3834,9.8633,1.609,0.00438,10.62,10.67,33.36,12176.4,7/7/81
92467,3.8131,6.8783,-6.6689,1.416,0.01773,9.1,9.17,33.62,12271.3,4/3/81
70813,5.7923,6.1092,5.969,1.542,0.0109,9.63,9.7,33.64,12278.6,3/27/81
32274,-9.271,-2.0095,4.1066,0.902,28.49626,1.09,1.16,33.7,12300.5,3/5/81
55551,-1.2806,3.5575,9.6587,0.902,0.03387,8.4,8.48,33.81,12340.65,1/24/81
11538,-5.3412,-1.1423,-8.8279,0.946,0.31804,5.97,6.05,33.84,12351.6,1/13/81
8853,-5.7338,2.258,-8.3607,1.609,0.00807,9.96,10.04,33.86,12358.9,1/6/81
48063,2.9112,-9.4442,3.4741,-0.63,0.00204,11.45,11.55,34.15,12464.75,9/22/80
41601,-6.4386,3.8358,7.3285,1.542,0.02162,8.89,8.99,34.17,12472.05,9/14/80
39166,1.7325,-10.2551,-1.3329,1.416,0.01365,9.39,9.49,34.18,12475.7,9/11/80
39868,-3.7682,-8.6198,4.735,1.542,0.00815,9.95,10.06,34.33,12530.45,7/18/80
12633,-8.5149,6.0524,-1.3534,0.54,2.0663,3.94,4.05,34.34,12534.1,7/14/80
28487,-8.8254,4.1035,4.2894,-0.63,0.00346,10.88,11.01,34.67,12654.55,3/16/80
92751,2.957,8.1786,-6.1643,0.071,0.00734,10.06,10.2,34.75,12683.75,2/16/80
68002,-1.415,8.1083,6.7775,1.416,0.03175,8.47,8.61,34.76,12687.4,2/12/80
46596,0.8188,-8.9536,5.7796,-0.63,0.00591,10.3,10.44,34.84,12716.6,1/14/80
98051,-0.6045,8.107,-6.9496,-0.63,0.00186,11.55,11.7,34.87,12727.55,1/3/80
73662,9.031,4.7554,3.2492,1.038,0.21761,6.38,6.53,34.92,12745.8,12/16/79
68009,-1.4277,8.1657,6.8232,1.609,0.00474,10.54,10.69,35,12775,11/17/79
71285,9.6885,2.6634,3.8353,1.137,0.07468,7.54,7.7,35.06,12796.9,10/26/79
12156,-5.3286,-1.9908,-9.1289,-0.63,0.00621,10.24,10.4,35.07,12800.55,10/22/79
25288,-10.1589,-3.5189,-0.7796,1.609,0.00618,10.25,10.41,35.14,12826.1,9/26/79
53551,2.7142,-4.252,9.5288,1.447,0.03626,8.33,8.49,35.15,12829.75,9/23/79
100096,-5.125,9.1744,2.4462,1.038,0.25824,6.19,6.36,35.17,12837.05,9/15/79
69679,4.9949,6.5472,6.9808,0.509,6.79981,2.64,2.81,35.19,12844.35,9/8/79
71741,9.5146,3.3243,3.8849,-0.63,0.00238,11.28,11.45,35.21,12851.65,9/1/79
9161,-7.7678,5.9733,-4.6494,0.54,1.05813,4.66,4.84,35.36,12906.4,7/8/79
31779,-5.8968,-9.1098,0.0514,1.542,0.00195,11.5,11.68,35.38,12913.7,7/1/79
14320,-1.9591,-6.1762,-8.7199,-0.63,0.00237,11.29,11.47,35.42,12928.3,6/16/79
49324,0.0484,-5.325,9.5111,0.48,3.37973,3.4,3.59,35.54,12972.1,5/3/79
56759,0.553,2.395,10.622,2.057,0.02193,8.87,9.06,35.54,12972.1,5/3/79
8733,0.5305,-5.1023,-9.6327,0.902,0.32955,5.93,6.12,35.58,12986.7,4/19/79
70151,0.2313,8.5622,6.8593,-0.63,0.00119,12.04,12.24,35.77,13056.05,2/8/79
48738,-3.7424,1.3172,10.292,1.748,0.0017,11.65,11.86,35.96,13125.4,12/1/78
18729,-8.0781,-4.2263,-6.3017,1.478,0.00697,10.12,10.34,36.13,13187.45,9/30/78
7561,-2.6793,-0.8528,-10.7278,1.137,0.02654,8.67,8.89,36.15,13194.75,9/23/78
49225,-1.209,-3.4412,10.4745,0.095,13.30369,1.92,2.14,36.16,13198.4,9/19/78
75775,4.2239,9.1983,4.5504,0.991,0.2682,6.15,6.38,36.18,13205.7,9/12/78
2662,-4.0532,7.26,-7.3647,0.902,0.42582,5.65,5.88,36.21,13216.65,9/1/78
79219,8.6383,6.9803,0.24,1.542,0.01965,8.99,9.22,36.21,13216.65,9/1/78
66568,6.8751,3.6146,7.9589,0.423,2.76877,3.62,3.85,36.25,13231.25,8/17/78
36504,-2.0365,-10.9421,0.4305,0.991,0.22472,6.35,6.58,36.31,13253.15,7/26/78
60524,7.4416,-3.0598,7.7057,1.677,0.00164,11.69,11.92,36.32,13256.8,7/23/78
41277,0.3225,-11.0344,1.5829,1.137,0.08255,7.43,7.67,36.36,13271.4,7/8/78
19758,-0.8724,-8.6974,-6.9655,1.542,0.00495,10.49,10.73,36.44,13300.6,6/9/78
40183,-7.4265,-1.1092,8.2823,0.82,0.67118,5.16,5.4,36.44,13300.6,6/9/78
55355,2.0519,-0.9833,10.9941,0.991,0.24805,6.24,6.49,36.6,13359,4/12/78
80888,9.6372,5.4208,-1.9386,-0.63,0.0012,12.03,12.28,36.6,13359,4/12/78
11002,-8.6265,6.9447,-1.8751,0.451,2.24351,3.85,4.1,36.62,13366.3,4/4/78
6943,-5.236,3.4489,-9.3452,1.542,0.00417,10.67,10.93,36.69,13391.85,3/10/78
59443,3.8751,1.0431,10.5152,0.991,102.96394,-0.31,-0.05,36.69,13391.85,3/10/78
57985,3.2961,0.3052,10.8479,0.54,8.45976,2.41,2.68,36.97,13494.05,11/27/77
78037,5.287,9.5536,3.0822,1.677,0.0031,11,11.27,36.99,13501.35,11/20/77
40566,-6.2546,-5.3522,7.8224,1.542,0.00705,10.1,10.38,37.02,13512.3,11/9/77
22791,-10.8359,-2.703,-2.1689,1.242,0.0309,8.5,8.78,37.09,13537.85,10/15/77
64111,5.5636,3.3504,9.358,2.057,0.00548,10.38,10.66,37.13,13552.45,9/30/77
57362,6.4539,-5.2735,7.776,-0.63,0.0019,11.53,11.81,37.16,13563.4,9/19/77
99263,5.3443,-6.3309,-7.8305,1.038,0.14716,6.81,7.09,37.16,13563.4,9/19/77
25075,-6.5549,-8.4427,-3.9937,-0.63,0.00181,11.58,11.87,37.2,13578,9/5/77
31285,-10.47,-0.51,4.5171,1.643,0.00626,10.23,10.52,37.21,13581.65,9/1/77
82709,4.3455,10.5321,0.7715,-0.63,0.00577,10.32,10.61,37.23,13588.95,8/25/77
54233,1.9617,-2.1917,11.0436,1.542,0.01265,9.47,9.76,37.26,13599.9,8/14/77
93128,2.0425,9.6744,-5.7519,1.542,0.00807,9.96,10.25,37.29,13610.85,8/3/77
41554,-1.5846,-10.5729,4.1273,-0.63,0.00156,11.74,12.04,37.36,13636.4,7/8/77
18152,-10.8704,0.867,-3.5618,1.242,0.0489,8,8.3,37.4,13651,6/24/77
31283,-10.5252,-0.5105,4.5413,1.677,0.00191,11.52,11.82,37.41,13654.65,6/20/77
31450,-9.021,4.4796,5.5355,1.416,0.00709,10.1,10.4,37.47,13676.55,5/29/77
374,-4.5848,10.0353,-3.2327,1.542,0.01074,9.65,9.95,37.48,13680.2,5/25/77
11529,1.7417,-7.4133,-8.6256,-0.63,0.00294,11.06,11.36,37.51,13691.15,5/14/77
10304,-1.0289,-5.0479,-10.2943,1.242,0.02859,8.58,8.89,37.53,13698.45,5/7/77
20592,-0.6241,-9.2239,-6.8833,1.242,0.02639,8.67,8.98,37.57,13713.05,4/22/77
40678,-7.0045,5.5049,7.3279,1.677,0.00345,10.88,11.19,37.61,13727.65,4/8/77
62115,5.1372,2.2391,10.0826,0.991,0.41121,5.69,6,37.61,13727.65,4/8/77
79019,8.7537,7.5752,0.5935,1.542,0.00951,9.78,10.1,37.79,13793.35,2/1/77
